index,strat,end,trig,duration
GRB171011A,0.06,2.34,778154,2.28
GRB171010B,0.0,30.4,778019,30.4
GRB171007A,0.48,68.904,777215,68.42399999999999
GRB171004A,15.344,120.884,776347,105.54
GRB171001A,12.784,33.7,775553,20.916000000000004
GRB170921A,-18.296,10.504,773509,28.799999999999997
GRB170912B,0.004,17.888,772052,17.884
GRB170912A,-0.12,21.064,772006,21.184
GRB170906C,-25.784,19.292,770981,45.076
GRB170906B,-11.776,7.424,770958,19.2
GRB170906A,8.008,96.12,770957,88.11200000000001
GRB170903A,-5.268,22.456,770528,27.724
GRB170827A,24.12,122.744,769567,98.624
GRB170823A,1.7,71.108,769177,69.408
GRB170822A,-15.624,48.376,768939,64.0
GRB170813A,-7.428,65.116,767563,72.544
GRB170810A,-17.776,134.644,767284,152.42000000000002
GRB170807A,0.164,36.488,766821,36.324
GRB170804A,3.856,60.336,766194,56.48
GRB170803A,-0.188,3.632,766081,3.8200000000000003
GRB170728B,0.056,47.736,765130,47.68
GRB170728A,0.236,1.484,765008,1.248
GRB170724A,-39.768,59.212,764204,98.98
GRB170714A,-32.904,426.312,762535,459.216
GRB170711A,-22.16,9.052,761622,31.212
GRB170710B,1.6,56.0,00086619001,54.4
GRB170710A,0.568,33.688,761119,33.120000000000005
GRB170705A,4.372,227.576,760064,223.204
GRB170629A,0.24,34.668,759159,34.428
GRB170626A,-1.236,11.712,758766,12.948
GRB170607A,-191.896,128.104,756284,320.0
GRB170604A,-10.296,16.232,755867,26.528
GRB170531B,4.288,174.584,755354,170.296
GRB170531A,-9.948,22.356,755343,32.304
GRB170526A,0.164,8.476,754549,8.312000000000001
GRB170524B,0.0,46.4,00753445006,46.4
GRB170524A,0.004,0.108,754322,0.104
GRB170519A,-24.028,196.224,753445,220.25199999999998
GRB170516A,-12.912,23.856,753110,36.768
GRB170428A,0.164,0.364,750298,0.19999999999999998
GRB170419B,1.0,66.856,748947,65.856
GRB170419A,-0.072,7.704,748898,7.776
GRB170405A,-16.816,148.496,745797,165.312
GRB170331A,-1.728,15.888,744791,17.616
GRB170330A,-141.168,3.3,744773,144.46800000000002
GRB170325A,0.016,0.348,00034941009,0.33199999999999996
GRB170318B,-0.464,0.608,743086,1.072
GRB170318A,-5.356,111.56,743065,116.916
GRB170317A,0.432,12.384,742866,11.952
GRB170311A,-3.696,5.304,741965,9.0
GRB170307A,56.16,86.08,741528,29.92
GRB170306A,-3.332,17.676,741220,21.008
GRB170208B,-5.472,122.664,737463,128.136
GRB170208A,0.088,7.536,737438,7.4479999999999995
GRB170206B,-0.008,13.352,737125,13.36
GRB170205A,-0.116,26.012,736843,26.128
GRB170203A,0.748,46.652,736432,45.904
GRB170202A,1.58,39.34,736407,37.760000000000005
GRB170127B,0.048,0.56,735331,0.512
GRB170127A,-4.892,62.484,735326,67.376
GRB170126A,-0.184,9.352,735188,9.536
GRB170115A,3.96,36.004,733103,32.044
GRB170113A,0.26,20.556,732526,20.296
GRB170112A,-0.004,0.052,732188,0.055999999999999994
GRB170111A,-12.264,17.612,731887,29.875999999999998
GRB170101A,-0.272,2.832,729293,3.104
GRB161224A,15.672,63.048,728268,47.376000000000005
GRB161220A,-3.052,4.168,727610,7.220000000000001
GRB161219B,0.048,6.98,727541,6.932
GRB161218A,-0.328,6.872,727288,7.2
GRB161217A,35.9,47.936,727167,12.036000000000001
GRB161214B,0.404,25.3,726885,24.896
GRB161202A,-62.156,56.34,725036,118.49600000000001
GRB161129A,6.18,41.724,724438,35.544
